The Total number of jobs processed : 100
The Average job size is : 146.0
 The Minimum job size is : 18
 The Maximum job size is : 255
Number of jobs that completed normally is : 79
Number of jobs that completed abnormally is : 21
CPU utilization is : 75.86% 
Number of jobs serviced by I/O device. is :185
I/O device utilization is :80.85% 
Average waiting time is :391.99
***************************************************************************************************** 
                       List of all process that was terminate 
PID: 81 ,  CUT: 3  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 51 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 67 ,  CUT: 5  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 62 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Abnormal
PID: 33 ,  CUT: 4  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 86 ,  CUT: 3  ,  IRT: 0  ,  WT: 0  ,  termination status: Abnormal
PID: 42 ,  CUT: 6  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 26 ,  CUT: 3  ,  IRT: 0  ,  WT: 0  ,  termination status: Abnormal
PID: 21 ,  CUT: 3  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 44 ,  CUT: 4  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 45 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 75 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 72 ,  CUT: 8  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 13 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 85 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 71 ,  CUT: 2  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 99 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Abnormal
PID: 93 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 22 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 7 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 38 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 15 ,  CUT: 7  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 24 ,  CUT: 3  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 100 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Abnormal
PID: 78 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 20 ,  CUT: 4  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 88 ,  CUT: 1  ,  IRT: 0  ,  WT: 0  ,  termination status: Normal
PID: 94 ,  CUT: 6  ,  IRT: 2  ,  WT: 21  ,  termination status: Normal
PID: 41 ,  CUT: 6  ,  IRT: 2  ,  WT: 23  ,  termination status: Normal
PID: 68 ,  CUT: 3  ,  IRT: 3  ,  WT: 25  ,  termination status: Abnormal
PID: 47 ,  CUT: 5  ,  IRT: 2  ,  WT: 28  ,  termination status: Normal
PID: 58 ,  CUT: 5  ,  IRT: 6  ,  WT: 35  ,  termination status: Normal
PID: 52 ,  CUT: 6  ,  IRT: 1  ,  WT: 51  ,  termination status: Abnormal
PID: 89 ,  CUT: 5  ,  IRT: 1  ,  WT: 52  ,  termination status: Normal
PID: 36 ,  CUT: 7  ,  IRT: 3  ,  WT: 66  ,  termination status: Abnormal
PID: 98 ,  CUT: 5  ,  IRT: 6  ,  WT: 74  ,  termination status: Abnormal
PID: 46 ,  CUT: 13  ,  IRT: 9  ,  WT: 80  ,  termination status: Normal
PID: 29 ,  CUT: 12  ,  IRT: 3  ,  WT: 90  ,  termination status: Normal
PID: 53 ,  CUT: 2  ,  IRT: 6  ,  WT: 97  ,  termination status: Abnormal
PID: 10 ,  CUT: 5  ,  IRT: 1  ,  WT: 103  ,  termination status: Normal
PID: 65 ,  CUT: 9  ,  IRT: 1  ,  WT: 106  ,  termination status: Abnormal
PID: 31 ,  CUT: 5  ,  IRT: 2  ,  WT: 107  ,  termination status: Abnormal
PID: 18 ,  CUT: 4  ,  IRT: 3  ,  WT: 138  ,  termination status: Normal
PID: 60 ,  CUT: 7  ,  IRT: 1  ,  WT: 141  ,  termination status: Normal
PID: 43 ,  CUT: 2  ,  IRT: 1  ,  WT: 142  ,  termination status: Normal
PID: 39 ,  CUT: 10  ,  IRT: 1  ,  WT: 167  ,  termination status: Normal
PID: 87 ,  CUT: 9  ,  IRT: 1  ,  WT: 168  ,  termination status: Normal
PID: 32 ,  CUT: 7  ,  IRT: 8  ,  WT: 174  ,  termination status: Normal
PID: 35 ,  CUT: 3  ,  IRT: 2  ,  WT: 196  ,  termination status: Normal
PID: 40 ,  CUT: 3  ,  IRT: 7  ,  WT: 209  ,  termination status: Normal
